"year";"O3 hr - A";"PM2,5 - BAM hr - A";"NOx hr - A";"O3 hr - B";"PM2,5 - BAM hr - B";"NOx hr - B"
"2008";"18.530434775371823";NULL;NULL;"14.385372235634488";NULL;NULL
"2009";"16.84877120431846";"5.822318677316384";NULL;"14.927988878017965";"11.267415068979433";NULL
"2010";"23.507792602967687";"8.884029409534065";NULL;"19.993116640341274";"5.832710954997052";NULL
"2011";"21.127445866106147";"5.202557914058345";NULL;"17.354546074542895";"6.946901236515481";"6.310743464362066"
"2012";"23.005466462943733";"6.708583452952875";"4.429094590026607";"20.08976114068842";"7.925126433568235";NULL
"2013";"23.371879997705875";"6.278656574341337";"4.212343239905605";"21.06218004037776";"8.708424651370034";NULL
"2014";"22.550639747754516";"5.915721516894017";"4.213571563497706";"21.39054260183774";"8.443936133607616";NULL
"2015";"21.962088349232452";"5.114023027910159";"3.6826829365596283";"21.10723207877348";"8.244326829916185";NULL
"2016";"21.95886874915495";"4.87561112761128";"3.1122208768897512";"20.50172032143442";"6.432966476406691";NULL
"2017";"21.279790122225563";"6.070619412005301";"3.397784279975154";"21.839617557452144";"5.787282051440982";NULL
"2018";"25.943772628232118";NULL;"3.681079001498317";"22.207651674226366";"7.136127211586415";NULL
